datasetkey	datasetTitle	occurrenceCount
95ed1fa5-2923-4459-836b-11ad8cc4bf42	Mammals in MZNA-VERT: pellet sampling	73574
42319b8f-9b9d-448d-969f-656792a69176	Belgian Coccinellidae - Ladybird beetles in Belgium	72185
ce861efd-402f-4c10-a9fb-30ad0426bd15	Données de l'Observatoire de la Faune de Bourgogne	69319
95f572da-a3a9-4706-bccb-03521079a520	Birds of Norhern Eurasia	65917
7c44411b-0296-4634-9538-0ae43b10a38a	Norwegian Lepidoptera working group	65903
80df9ab6-fb28-422c-8b86-e92cf9bfdbf7	BeeWalk bumblebee distributions for Great Britain 2008-2016	65241
ac1a6843-ac40-4073-bfb1-8ffaa4b73b66	The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972.	63985
37e094f3-dcf2-469f-93a2-c4b9b5fa7275	Waarnemingen.be - Hemiptera occurrences in Flanders and the Brussels Capital Region, Belgium	59081
6867ae37-74b8-43e7-805d-5dac0a6d447e	Atlas of Danish Mammals	57421
90eae6b8-57d2-4d24-8eb3-1dbde00f1669	NRW Regional Data: North Wales	56452
93f5be1b-c517-4a76-8cbe-6e81a5dd4f85	The First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.	55690
928304f1-d313-47cd-b17b-0232bc27b727	Seasearch Marine Surveys in Ireland	55539
8bb6b7ef-553f-40a8-872b-c6a54ecf2f68	Reptiles and Amphibians Dataset	55056
662a5899-42ba-4ca3-b075-c51d45516ba1	Données Vigie-Flore	47121
76cc7230-76b6-4763-9caf-22626b29c0a6	Saltabel - Orthoptera in Belgium	46834
db09684b-0fd1-431e-b5fa-4c1532fbdb14	The Taiwan Roadkill Observation Network Data Set.	46416
80455677-4c00-4c3d-8290-446e459a9e9c	Water Bug (aquatic Heteroptera) data for Britain	45308
e351951e-32da-46d6-b61c-e9816d39e0d4	North Merseyside Local Species Data (DEFRA Grant 23169)	43928
80576d53-992a-41f3-a3e3-dfd0fa0242ee	Ireland's BioBlitz	43162
8539cd0e-f762-11e1-a439-00145eb45e9a	KWP Lepidoptera Collection (Arctos)	43040
5d784d06-fa1d-4f00-8cdc-663d04d26061	A common plants survey of vascular plants in South Northumberland and Durham, United Kingdom	42517
045d64f1-29e5-4b8e-a0e7-8d7bd6b4d1db	Aquatic Heteroptera Dataset	41887
77c3a178-a140-4a5d-87af-1f29e29f8330	Suivi Temporel des Oiseaux Communs par Echantillonage Ponctuel Simple en Haute-Normandie	41834
824c7e2e-d2fb-466f-bf1b-ee975f1f6956	Soldier Beetle and Jewel Beetle (Coleoptera; Cantharoidea and Buprestoidea) records for Britain and Ireland to 2000	40481
cbd241aa-a115-4856-af66-fac5cb90f2cc	Cartographie des Leguminosae (Fabaceae) en France	39957
66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	Diveboard - Scuba diving citizen science observations	36673
c0e410ad-0d01-49f3-a837-71982c0e0c32	TWIC Biodiversity Field Trip Data (1995-present)	34217
a8c8144a-3693-4d92-8bc4-49e00dd8defc	Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data	32266
19671673-994b-4100-89ed-dc4cc18e0adc	Données d'occurrences RLA Flore NC	31126
4797da32-5693-4281-a8f1-bf99bae66ddb	NSW Waterwatch	30324
3b8c5ed8-b6c2-4264-ac52-a9d772d69e9f	BIOWIDE eDNA Fungi dataset	30091
867b3fb8-f762-11e1-a439-00145eb45e9a	European Moth Nights	29876
be8970d8-8e56-4ba7-b09c-70e78457f465	Mosses and Liverworts: Records for Kent.	29482
c19a8f6e-c368-494d-942e-10108d8867a7	Canberra Nature Map	29120
82ab0954-f762-11e1-a439-00145eb45e9a	Bird Observational Records	26721
d8c540f5-bb74-4748-9634-034ccd8ec52b	Données de Mammifères enregistrées dans BazNat - Lot 1	26185
b660c51c-17cc-44e7-973a-bec13da75166	Heteroptera: Records for Kent	24970
6b76dc19-eb87-4ca2-b738-3727286f1818	Monitoring Sites 1000 Satoyama Mammals	24860
08360455-914e-4d02-809a-13e3cd8a8d21	Living with Mammals survey	24650
cbde2a70-7a85-4370-b240-09e0738f76f9	Big Hedgehog Map records	23819
d3484430-8876-11dd-986c-b8a03c50a862	New Zealand Biodiversity Recording Network	23593
6e09f9dc-0bf2-4c20-8ff6-bd898bbc4831	Radnorshire Wildlife Trust records held by BIS	23547
6f0597b0-54d4-4084-8d4b-339d5b806181	Hatfield Forest species data held by The National Trust.	22704
a899709f-9a73-4cac-84d8-a7dcc7b70280	Seasearch Marine Surveys in the Channel Islands	22471
f14f3ec9-c54a-477d-82c8-f7ba6925534a	UK Roadkill Records	21273
2b91dc29-e06a-4e2e-a85b-e7781b4f5d0d	Odonata records from Kent's County Dragonfly Recorders (1976-2005)	21242
491648cb-7e3a-42f4-8b86-fca1bcc82173	Brachycera (Diptera) records from Britain and Ireland to 1990	20891
2b2bf993-fc91-4d29-ae0b-9940b97e3232	Zomerganzen - Summering geese management and population counts in Flanders, Belgium	20416
e58dbe2f-cfc0-40c2-a04d-e45a7e876980	Natusfera Citizen Science Observation Dataset	19973
547f2b71-ba25-4254-aaf1-4823600e7784	Merseyside BioBank Active Naturalists (unverified)	19947
e3803a54-b4fd-46d7-ab67-ad8f6871fae5	sarce_rockyshores	19254
120b7285-b1e6-4653-ab30-8d4231ccc9bc	Cerambycidae Dataset	19127
67f85ce5-4cfb-45ac-b05f-cac763d0b838	Vigie-Chiro : suivi acoustique routier en Ile-de-France	18924
13558000-99a0-45de-8d3b-db87a578ace7	Wimpole Estate species data held by The National Trust	18305
ce1faba4-d8d9-46ac-ba26-cffe03eadc99	Upper Murrumbidgee Waterwatch	17362
b480871a-6c2f-4c35-ab94-6de203c4ff28	Merseyside BioBank Active Naturalists (verified)	17210
c45c8530-fd7d-4f30-a9e4-c6d243a4b404	Seasearch Marine Surveys in the Isle of Man	16582
04a041d6-bfa9-4efd-97f4-3a016e973f37	Lichens:  Records for Kent.	16580
f0c74a2c-4bd8-49d0-837a-92bb835fd2f3	Database for alien invasive plants occurrences in Germany	16506
37a1816f-d4fd-4d30-bf74-72ca5bf0eb90	Marine Species Records from Skomer Marine Conservation Zone (MCZ) Marine Monitoring Programme	16341
07609307-26f9-490f-89ea-4e74497e3c0d	Brecknock Wildlife Trust records held by BIS	16212
73846baa-cba6-48e0-94e0-9308dae5c6bb	Hedgehog records 2005-2006: Hogwatch and Rural Landowner surveys	16195
6d2c56f6-9643-429c-b4e6-c752f6a2602a	Lepidoptera Records up to April 2010	15964
e6c97f6e-e952-11e2-961f-00145eb45e9a	Anymals+plants - Citizen Science Data	15255
feb41318-374b-4ed6-b61e-0369993abedc	Sightings Map of Invasive Plants in Portugal	15245
b2d0f29e-4614-4001-93c8-f651878a86d2	Trekvis - Migratory fishes in the river Scheldt	14741
94c74198-9eaf-4b43-a349-0b566dcd648a	Invertebrate records from sites that are mainly across Scotland	14474
3f9cd7e5-6d7b-40a8-8062-a18d2f2ca599	Bird survey of Budai salt pans in Taiwan	14294
e8ce41f4-a58a-4ce9-90b7-93694071afcd	WDC Shorewatch Sightings	14199
6a948a1c-7e23-4d99-b1c1-ec578d0d3159	Tetraonid line transect surveys from Norway: Data from Statskog	13255
8124cd73-ac84-43d2-ab39-1d80dc346525	Waarnemingen.be - Fish occurrences in Flanders and the Brussels Capital Region, Belgium	12850
e0eb19aa-f73c-4e45-917e-d2d3c157ed92	Orthoptera & Allies: Records for Kent	12662
96c4aa76-f762-11e1-a439-00145eb45e9a	Danish Ants (Formicidae)	12147
6d5fced1-6e85-4d9e-88f4-e1459772d2fd	El Censo Neotropical de Aves Acuáticas en Colombia (CNAA): 2002 - 2011	11250
116f7655-c1cc-475e-a567-2f5f2b358f73	Derbyshire Red Data List Plant Records 1930 - 2014	11192
b5345830-c7b8-11de-b279-99d156ba6477	Irish Wetland Birds Survey (I-WeBS) 1994-2001.	10909
09efcc43-c674-4a70-b326-cd83f7463d1d	Occurrences of the invasive plant species Heracleum sosnowskyi Manden. in the Komi Republic territory (European North-East Russia)	10894
1c12eb6c-84b6-4db2-a8a8-8c297685e2eb	Observations naturalistes de mammifères en Nord-Isère. Lo Parvi	10767
82091a91-03bb-4af0-8fc3-e141ad1a6efc	Atomariine Beetle (Coleoptera) records for Britain and Ireland to 1992	10699
f530f789-58de-4b43-9f42-1292db1945cf	2005 - Ongoing United Kingdom MarLIN Shore Thing timed search results	10404
ad07ac5e-718d-40cc-8093-b61169b745ef	Shieldbug & allied species records, from iRecord	10399
5b580625-29f0-4911-be29-cf5b6496e538	Hedgehog Hibernation Survey records	10179
b6a04f9b-d449-43a2-9707-36260bdb25de	Kauai Invasive Species Committee - Pest Surveys - 2001-2011	10171
c709bf36-4964-4771-90f0-c6ba4b351620	Suivi Temporel des Libellules (STELI)	10110
6df4cdef-c55d-4a03-9055-3cbadcdd05aa	DASSH Data Archive Centre volunteer survey data	10006
1a20c977-7365-49d2-8100-5978d4e52234	Soldierflies and Allies Recording Scheme - data verified via iRecord	9931
35752720-9dc9-40ce-aea5-63915e8aeb0e	Derbyshire Invasive Non-Native Species (INNS) 1900 - 2014	9877
f794b231-42de-4008-ba8e-809e01ee7785	Great British Bee Count 2018 verified data	9863
f8f4c490-8ab3-4e27-b871-944fb807bc1b	White-tailed eagle reintroduction in Scotland, 1975 onwards - Sightings data	9396
5accf920-492e-4641-9ba2-11481c116419	Highland bird data 2002 - 2003 - non-breeding records	9054
2aaf8ea9-0460-41d2-a651-3583479947c6	Actualisation de la cartographie des Ptéridophytes de France et d'Europe occidentale	8881
